gene,pearson_r,p,percent_cell,imp_sumup_norm
AC159282.1,0.0201037890849338,0.2963719015132591,0.0150854844116661,0.0077356445
JMJD4,0.0200997808927811,0.2964682312453425,0.0935300033523298,0.11940715
SLX4,0.0200895943755227,0.2967131401795977,0.1203486423064029,0.28040665
ANXA11,0.0200820934395741,0.2968935675724307,0.0060341937646664,0.004847833
JPX,0.0200505307533116,0.2976535792815716,0.0590010056989607,0.03529851
SDS,0.0200477857725068,0.2977197382383342,0.0023466309084813,0.005243464
NKX2-2,0.0200416072626759,0.2978686873260436,0.1143144485417365,0.24602886
GM31135,0.0200065105369972,0.2987157294539149,0.0030170968823332,0.0047299
AK8,0.0199659395254761,0.299696891614316,0.0408984244049614,0.074138835
GM28809,0.0199653272586553,0.2997117150026134,0.0010056989607777,0.0038366807
CATSPER3,0.0199561206518162,0.2999346720247641,0.0093865236339255,0.006056617
SAG,0.0199393225405224,0.3003417577890497,0.0395574924572577,0.012062584
GM17586,0.0199387879430893,0.3003547192744299,0.1022460610124036,0.08300957
SLC22A21,0.0199337444475798,0.3004770187740487,0.0124036205162588,0.007532671
IRX5,0.019920542215616,0.3007973161551299,0.0164264163593697,0.008285704
GM7967,0.0199052961666575,0.3011674810485974,0.0063694267515923,0.007063773
C030018K13RIK,0.0198771459641439,0.3018517475254443,0.0090512906469996,0.0077559655
DRD5,0.0198658154722008,0.3021274573275485,0.030841434797184,0.039266977
GNG8,0.0198620281593579,0.3022196529980295,0.1267180690579953,0.6829964
SETD6,0.019856400332502,0.3023566873948756,0.1438149513912169,0.2988359
GRAMD4,0.0198542232221474,0.3024097098795948,0.2430439155212873,0.40876067
CD53,0.0198533341163482,0.3024313654052406,0.0834730137445524,0.097423576
